size dptime clsspines
2 6.0 yes2
3 5.0 yes2
3 4.0 yes3
4 9.5 yes2
4 7.5 yes3
4 7.0 yes4
5 13.0 yes2
5 12.25 yes3
5 11.0 yes4
5 9.0 yes5
6 17.333333333333332 yes2
6 17.166666666666668 yes3
6 16.666666666666668 yes4
6 14.666666666666666 yes5
6 12.0 yes6
7 20.0 yes2
7 22.0 yes3
7 22.1 yes4
7 20.444444444444443 yes5
7 18.666666666666668 yes6
7 15.0 yes7
8 22.75 yes2
8 26.583333333333332 yes3
8 63.0 no3
8 27.736842105263158 yes4
8 26.894736842105264 yes5
8 25.5 yes6
8 22.5 yes7
9 26.25 yes2
9 30.8125 yes3
9 84.5 no3
9 32.857142857142854 yes4
9 77.0 no4
9 32.973684210526315 yes5
9 31.607142857142858 yes6
9 28.8125 yes7
10 32.6 yes2
10 36.3 yes3
10 137.33333333333334 no3
10 38.45454545454545 yes4
10 97.0 no4
10 39.10606060606061 yes5
10 89.5 no5
10 38.28787878787879 yes6
10 35.81818181818182 yes7
11 35.75 yes2
11 118.0 no2
11 42.0 yes3
11 215.0 no3
11 44.11864406779661 yes4
11 134.85714285714286 no4
11 44.95454545454545 yes5
11 111.33333333333333 no5
11 44.62698412698413 yes6
11 101.5 no6
11 42.763636363636365 yes7
12 41.6 yes2
12 143.0 no2
12 49.36666666666667 yes3
12 357.0 no3
12 50.773809523809526 yes4
12 192.86666666666667 no4
12 51.15882352941176 yes5
12 161.8 no5
12 50.80508474576271 yes6
12 122.625 no6
12 49.41525423728814 yes7
12 110.0 no7
13 46.333333333333336 yes2
13 235.5 no2
13 61.513513513513516 yes3
13 521.5 no3
13 59.28703703703704 yes4
13 303.5652173913044 no4
13 58.14901960784314 yes5
13 229.5625 no5
13 57.2126582278481 yes6
13 166.91666666666666 no6
13 55.894067796610166 yes7
13 131.75 no7
14 62.285714285714285 yes2
14 556.75 no2
14 71.39024390243902 yes3
14 645.3333333333334 no3
14 71.91095890410959 yes4
14 432.0857142857143 no4
14 67.02203856749311 yes5
14 318.05263157894734 no5
14 64.24153846153847 yes6
14 228.44827586206895 no6
14 62.526497695852534 yes7
14 179.02631578947367 no7
15 78.5 yes2
15 887.3333333333334 no2
15 88.13725490196079 yes3
15 926.6111111111111 no3
15 86.86338797814207 yes4
15 638.28 no4
15 79.67578125 yes5
15 423.2020202020202 no5
15 73.8098098098098 yes6
15 313.70940170940173 no6
15 70.57011191573403 yes7
15 240.3673469387755 no7
16 108.36363636363636 yes2
16 1425.3333333333333 no2
16 112.20967741935483 yes3
16 1183.2380952380952 no3
16 104.88381742738589 yes4
16 911.952380952381 no4
16 93.98565279770445 yes5
16 587.8552631578947 no5
16 84.43139841688654 yes6
16 411.9583333333333 no6
16 78.63279078999604 yes7
16 311.2165898617512 no7
17 134.23076923076923 yes2
17 1737.5 no2
17 130.98666666666668 yes3
17 1340.46875 no3
17 125.83557046979865 yes4
17 1190.4186046511627 no4
17 111.94842105263157 yes5
17 788.6222222222223 no5
17 97.67258652094718 yes6
17 545.8054054054054 no6
17 88.41435643564357 yes7
17 395.2318181818182 no7
18 161.6153846153846 yes2
18 2570.25 no2
18 150.95945945945945 yes3
18 1834.98 no3
18 147.69656992084433 yes4
18 1472.176 no4
18 132.5214968152866 yes5
18 1049.3385093167701 no5
18 114.09864053114133 yes6
18 701.6848184818482 no6
18 100.32853025936599 yes7
18 506.0342717258262 no7
19 180.92307692307693 yes2
19 3258.818181818182 no2
19 162.87671232876713 yes3
19 2360.088888888889 no3
19 177.04474272930648 yes4
19 1897.0982658959538 no4
19 156.07060953530475 yes5
19 1371.355408388521 no5
19 133.86645540968763 yes6
19 910.1440860215054 no6
19 115.1130057191273 yes7
19 643.562105263158 no7
20 185.46153846153845 yes2
20 3972.4615384615386 no2
20 169.31884057971016 yes3
20 2596.0 no3
20 207.21553398058253 yes4
20 2158.4146341463415 no4
20 184.19340974212034 yes5
20 1706.768253968254 no5
20 157.22572221315488 yes6
20 1170.205965909091 no6
20 132.8888968842196 yes7
20 813.4135021097046 no7
21 215.44444444444446 yes2
21 4195.666666666667 no2
21 194.986301369863 yes3
21 2967.6511627906975 no3
21 228.26394052044608 yes4
21 2345.657142857143 no4
21 213.80030663089306 yes5
21 2021.1682692307693 no5
21 183.601409648803 yes6
21 1481.0033783783783 no6
21 153.9837996322616 yes7
21 1024.6328186338656 no7
22 226.75 yes2
22 4975.7 no2
22 225.82191780821918 yes3
22 3734.9591836734694 no3
22 247.93617021276594 yes4
22 2648.1653846153845 no4
22 249.72858517805582 yes5
22 2349.4642516682557 no5
22 213.3257116620753 yes6
22 1805.6679297278677 no6
22 178.7317338766334 yes7
22 1282.9159464497543 no7
23 276.75 yes2
23 4444.6 no2
23 264.7142857142857 yes3
23 4644.568965517241 no3
23 250.40347826086958 yes4
23 3028.299319727891 no4
23 289.90653432588914 yes5
23 2666.234520123839 no5
23 246.5146752780768 yes6
23 2133.6230379746835 no6
23 207.0788815007711 yes7
23 1569.8712848909481 no7
24 344.5 yes2
24 4613.6 no2
24 298.24615384615385 yes3
24 5620.803278688524 no3
24 275.45299145299145 yes4
24 3482.632047477745 no4
24 325.834537752305 yes5
24 2982.06 no5
24 285.5846681922197 yes6
24 2472.928124407358 no6
24 239.04508051424625 yes7
24 1888.7188614859624 no7
25 7815.666666666667 no2
25 347.40909090909093 yes3
25 6598.310344827586 no3
25 306.050505050505 yes4
25 4108.588571428571 no4
25 355.0854857142857 yes5
25 3374.746212121212 no5
25 329.3471424536296 yes6
25 2849.608147713951 no6
25 275.31335019673975 yes7
25 2231.8403660675144 no7
26 372.2741935483871 yes3
26 6708.4 no3
26 348.4267100977199 yes4
26 4805.708010335918 no4
26 372.5815194195476 yes5
26 3709.9579148732664 no5
26 377.06636554538613 yes6
26 3228.301401869159 no6
26 315.96419767833294 yes7
26 2592.0125526336697 no7
27 380.2352941176471 yes3
27 5854.835820895522 no3
27 396.0263157894737 yes4
27 5639.146396396396 no4
27 418.5892639284262 yes5
27 4111.572303921569 no5
27 424.60260776825953 yes6
27 3576.4362777515353 no6
27 363.13958910097625 yes7
27 2962.3523511711605 no7
28 458.07142857142856 yes3
28 5794.854838709677 no3
28 463.6756756756757 yes4
28 6483.035714285715 no4
28 458.64962196577795 yes5
28 4637.524838012959 no5
28 477.10255786368197 yes6
28 3967.7727272727275 no6
28 415.39844334784175 yes7
28 3347.931703033169 no7
29 771.4166666666666 yes3
29 7317.441176470588 no3
29 565.2081850533808 yes4
29 7390.033596837945 no4
29 523.1357927786499 yes5
29 5313.493442622951 no5
29 529.5603388991279 yes6
29 4397.7891403312005 no6
29 474.73685867170286 yes7
29 3748.721803849808 no7
30 11647.6 no3
30 601.6337209302326 yes4
30 7929.139705882353 no4
30 569.5828437132785 yes5
30 6125.592459605027 no5
30 584.9144006517976 yes6
30 4872.480333463884 no6
30 536.9485127242285 yes7
30 4164.3551995078715 no7
31 655.6077097505669 yes4
31 7891.667984189723 no4
31 644.0904357886618 yes5
31 6633.1550056882825 no5
31 639.4653202872704 yes6
31 5272.683674473529 no6
31 604.658841542274 yes7
31 4598.754076765841 no7
32 639.0796460176991 yes4
32 7930.5969827586205 no4
32 732.1951887345981 yes5
32 7482.028878098646 no5
32 708.02333542933 yes6
32 5829.768222520223 no6
32 674.1157321032451 yes7
32 5028.657008510839 no7
33 808.3837837837838 yes4
33 7483.900249376558 no4
33 820.7166354361857 yes5
33 8205.743309285548 no5
33 764.9327754276255 yes6
33 6465.845481950993 no6
33 749.1808670594728 yes7
33 5504.813112384006 no7
34 1160.9166666666667 yes4
34 8606.017699115044 no4
34 918.4810448451225 yes5
34 8931.01025991792 no5
34 845.6133379168099 yes6
34 7071.226944038756 no6
34 825.6103279807013 yes7
34 5971.570785989609 no7
35 13904.478873239437 no4
35 974.0133542812255 yes5
35 9537.1336051811 no5
35 929.9433831990794 yes6
35 7827.161039826696 no6
35 900.6957376635082 yes7
35 6511.685578533863 no7
36 1005.7797752808989 yes5
36 9525.369725738397 no5
36 1027.14225132232 yes6
36 8499.432683321911 no6
36 967.8530027153313 yes7
36 7021.229584536539 no7
37 1057.9356544733362 yes5
37 9289.209156193896 no5
37 1133.0797377947363 yes6
37 9265.259662256267 no6
37 1050.1127048461951 yes7
37 7573.890121249371 no7
38 1292.4721753794267 yes5
38 9062.870231862378 no5
38 1245.8700365830864 yes6
38 9962.511000169234 no6
38 1134.6444379419393 yes7
38 8225.479615066664 no7
39 1654.8149171270718 yes5
39 10402.801360544217 no5
39 1350.2700455235206 yes6
39 10594.81070312724 no6
39 1237.9221857176935 yes7
39 8939.636297095005 no7
40 15536.922907488986 no5
40 1442.676088044022 yes6
40 11005.182193850804 no6
40 1345.5173433166945 yes7
40 9734.23155121464 no7
41 1534.9140188627416 yes6
